Z=0.020000,Y=0.270,000 OS=0,.20 l/Hp,1.7432,01 [Fe/,H]= 0.0,46320 [,Alpha/F,e]= 0.00,,
M/Msun,logT,logL/Ls,logg,Mv,U-B,B-V,V-R,V-I,#(x=-1),#(x=1.35),#(x=3)
age(Gyr)=,0.001  3,5 points,,,,,,,,,
3.8657684,4.0419,2.656,3.4888,-1.407,-0.234,-0.106,-0.028,-0.06,4.11E-01,7.46E-03,3.94E-04
3.8659871,4.0346,2.6627,3.4529,-1.46,-0.212,-0.101,-0.026,-0.053,4.68E-01,8.50E-03,4.49E-04
3.8662364,4.0274,2.6687,3.4181,-1.51,-0.19,-0.096,-0.024,-0.046,5.06E-01,9.18E-03,4.85E-04
3.8664926,4.0201,2.6743,3.3833,-1.559,-0.167,-0.091,-0.021,-0.039,5.22E-01,9.47E-03,5.00E-04
3.8667579,4.0128,2.6782,3.3503,-1.604,-0.144,-0.085,-0.018,-0.031,5.44E-01,9.88E-03,5.22E-04
3.8670368,4.0056,2.6805,3.3192,-1.644,-0.121,-0.08,-0.015,-0.023,5.69E-01,1.03E-02,5.45E-04
3.867327,3.9983,2.6815,3.289,-1.681,-0.097,-0.074,-0.012,-0.015,5.88E-01,1.07E-02,5.63E-04
3.8676247,3.991,2.6818,3.2596,-1.717,-0.073,-0.067,-0.009,-0.005,6.01E-01,1.09E-02,5.75E-04
3.8679279,3.9837,2.6813,3.2309,-1.75,-0.048,-0.06,-0.005,0.005,6.06E-01,1.10E-02,5.80E-04
3.8682306,3.9764,2.6801,3.2029,-1.781,-0.023,-0.053,-0.002,0.015,6.00E-01,1.09E-02,5.74E-04
3.8685275,3.9692,2.6785,3.1758,-1.811,0.001,-0.045,0.001,0.025,5.89E-01,1.07E-02,5.63E-04
3.8688191,3.9619,2.6762,3.1489,-1.839,0.026,-0.036,0.005,0.036,5.70E-01,1.03E-02,5.45E-04
3.8690971,3.9546,2.6736,3.1223,-1.865,0.052,-0.027,0.009,0.047,5.46E-01,9.90E-03,5.22E-04
3.8693653,3.9474,2.6706,3.0966,-1.887,0.078,-0.018,0.013,0.059,6.88E-01,1.25E-02,6.58E-04
3.8697852,3.9352,2.6648,3.0536,-1.92,0.124,0,0.022,0.08,8.03E-01,1.46E-02,7.67E-04
3.8701684,3.9231,2.6582,3.0119,-1.941,0.165,0.021,0.032,0.102,7.31E-01,1.32E-02,6.98E-04
3.8705162,3.911,2.6508,2.9709,-1.953,0.203,0.046,0.044,0.127,6.65E-01,1.21E-02,6.35E-04
3.8708338,3.8989,2.6427,2.9306,-1.955,0.223,0.074,0.057,0.153,6.07E-01,1.10E-02,5.79E-04
3.871123,3.8868,2.6341,2.8909,-1.95,0.234,0.108,0.073,0.184,5.55E-01,1.01E-02,5.30E-04
3.8713889,3.8747,2.6248,2.8518,-1.937,0.238,0.143,0.09,0.216,5.06E-01,9.16E-03,4.83E-04
3.871629,3.8626,2.615,2.8132,-1.919,0.228,0.18,0.109,0.251,4.60E-01,8.33E-03,4.39E-04
3.8718492,3.8505,2.6047,2.7751,-1.898,0.204,0.218,0.13,0.288,4.23E-01,7.66E-03,4.04E-04
3.8720522,3.8385,2.5938,2.7381,-1.873,0.185,0.255,0.15,0.326,3.89E-01,7.04E-03,3.71E-04
3.8722382,3.8264,2.5826,2.7009,-1.847,0.163,0.292,0.171,0.366,3.61E-01,6.53E-03,3.44E-04
3.8724133,3.8143,2.5707,2.6644,-1.818,0.154,0.332,0.192,0.407,3.36E-01,6.08E-03,3.20E-04
3.8725742,3.8022,2.5585,2.6282,-1.785,0.159,0.377,0.213,0.448,3.11E-01,5.63E-03,2.96E-04
3.8727243,3.7902,2.5457,2.593,-1.748,0.171,0.425,0.233,0.488,2.98E-01,5.39E-03,2.84E-04
3.8728721,3.7781,2.5319,2.5585,-1.704,0.188,0.477,0.254,0.529,2.96E-01,5.36E-03,2.82E-04
3.8730207,3.7661,2.5169,2.5255,-1.652,0.215,0.533,0.274,0.569,3.03E-01,5.49E-03,2.89E-04
3.8731755,3.7541,2.4993,2.4951,-1.585,0.254,0.593,0.296,0.609,3.37E-01,6.09E-03,3.21E-04
3.8733576,3.7422,2.4756,2.4712,-1.497,0.301,0.652,0.318,0.65,3.93E-01,7.11E-03,3.75E-04
3.8735689,3.7305,2.4448,2.4552,-1.386,0.349,0.708,0.341,0.693,4.52E-01,8.17E-03,4.30E-04
3.8738095,3.719,2.4057,2.4484,-1.248,0.405,0.762,0.366,0.736,5.08E-01,9.19E-03,4.84E-04
3.8740773,3.7076,2.3641,2.4444,-1.097,0.469,0.816,0.391,0.781,5.76E-01,1.04E-02,5.48E-04
3.8743853,3.6958,2.3346,2.4267,-0.969,0.543,0.872,0.419,0.83,6.52E-01,1.18E-02,6.20E-04
3.8747296,3.684,2.3518,2.3624,-0.951,0.627,0.929,0.449,0.881,6.97E-01,1.26E-02,6.63E-04
3.8750827,3.6734,2.4102,2.2616,-1.036,0.712,0.983,0.476,0.927,7.91E-01,1.43E-02,7.52E-04
3.8755205,3.664,2.4866,2.1477,-1.166,0.794,1.035,0.501,0.97,1.10E+00,1.99E-02,1.05E-03
3.8761864,3.6551,2.5696,2.0291,-1.312,0.879,1.087,0.527,1.015,1.49E+00,2.70E-02,1.42E-03
3.877014,3.6466,2.6552,1.9096,-1.461,0.971,1.137,0.553,1.061,1.68E+00,3.04E-02,1.60E-03
3.8778712,3.6383,2.7442,1.7875,-1.616,1.076,1.182,0.58,1.109,1.76E+00,3.17E-02,1.66E-03
3.8787703,3.6307,2.8381,1.6633,-1.785,1.182,1.223,0.605,1.156,1.82E+00,3.28E-02,1.72E-03
3.8796932,3.6234,2.935,1.5373,-1.956,1.288,1.265,0.632,1.209,2.09E+00,3.77E-02,1.98E-03
3.8808634,3.616,3.0314,1.4115,-2.116,1.407,1.31,0.662,1.272,1.17E+00,2.11E-02,1.11E-03
,,,,,,,,,,,
age(Gyr)=,0.400 14,0 points,,,,,,,,,
0.4,3.4708,-1.9105,4.7857,12.662,1.518,1.806,1.416,3.251,3.77E+01,1.34E+02,2.88E+02
0.4377439,3.5019,-1.7527,4.7914,11.653,1.372,1.666,1.222,2.771,7.56E+01,2.30E+02,4.44E+02
0.4755521,3.5329,-1.5934,4.7921,10.715,1.264,1.541,1.059,2.35,8.01E+01,1.99E+02,3.34E+02
0.5178058,3.5635,-1.4279,4.786,9.817,1.231,1.44,0.945,1.977,9.18E+01,1.87E+02,2.72E+02
0.5673592,3.5938,-1.2551,4.7741,8.987,1.232,1.342,0.858,1.673,1.05E+02,1.73E+02,2.17E+02
0.6229767,3.623,-1.0766,4.753,8.244,1.202,1.235,0.771,1.442,1.24E+02,1.63E+02,1.75E+02
0.6918209,3.65,-0.8839,4.7138,7.548,1.081,1.135,0.683,1.26,1.44E+02,1.49E+02,1.35E+02
0.7673141,3.6762,-0.6932,4.6729,6.899,0.879,1.031,0.597,1.103,1.54E+02,1.25E+02,9.57E+01
0.845925,3.7019,-0.5033,4.6282,6.288,0.641,0.924,0.517,0.965,1.61E+02,1.04E+02,6.74E+01
0.9279127,3.7273,-0.3146,4.5812,5.707,0.42,0.81,0.445,0.844,9.73E+01,5.28E+01,3.03E+01
0.9432171,3.7318,-0.2811,4.5728,5.608,0.384,0.789,0.433,0.824,3.06E+01,1.53E+01,8.29E+00
0.9585205,3.7364,-0.2475,4.5646,5.509,0.349,0.768,0.422,0.804,3.06E+01,1.47E+01,7.77E+00
0.9738045,3.7409,-0.214,4.556,5.412,0.317,0.748,0.41,0.784,3.06E+01,1.42E+01,7.30E+00
0.9891583,3.7455,-0.1802,4.5474,5.315,0.284,0.727,0.399,0.765,3.11E+01,1.39E+01,6.96E+00
1.0048907,3.7499,-0.1463,4.5379,5.219,0.253,0.707,0.389,0.747,3.27E+01,1.41E+01,6.87E+00
1.0218687,3.7542,-0.112,4.5281,5.122,0.223,0.687,0.379,0.729,3.40E+01,1.41E+01,6.68E+00
1.0388758,3.7585,-0.0774,4.5179,5.026,0.195,0.667,0.369,0.712,3.39E+01,1.35E+01,6.24E+00
1.0557952,3.7628,-0.0432,4.5079,4.931,0.169,0.647,0.359,0.695,3.39E+01,1.30E+01,5.84E+00
1.0727547,3.7671,-0.0088,4.4976,4.837,0.145,0.627,0.35,0.678,3.40E+01,1.26E+01,5.51E+00
1.0898399,3.7713,0.0259,4.4866,4.742,0.123,0.608,0.341,0.662,3.51E+01,1.25E+01,5.32E+00
1.1078323,3.7755,0.0608,4.4756,4.648,0.104,0.59,0.332,0.646,3.77E+01,1.29E+01,5.35E+00
1.1274992,3.7794,0.0967,4.4629,4.553,0.088,0.573,0.324,0.631,3.93E+01,1.29E+01,5.21E+00
1.1470989,3.7833,0.1323,4.4504,4.458,0.072,0.556,0.315,0.616,3.94E+01,1.24E+01,4.87E+00
1.1668601,3.7873,0.1681,4.438,4.364,0.057,0.539,0.307,0.601,3.94E+01,1.19E+01,4.55E+00
1.1864535,3.7912,0.2033,4.4257,4.272,0.043,0.523,0.3,0.587,3.97E+01,1.16E+01,4.30E+00
1.2065895,3.7952,0.2389,4.4134,4.178,0.03,0.507,0.292,0.573,4.11E+01,1.15E+01,4.15E+00
1.2275509,3.7991,0.2745,4.4009,4.085,0.02,0.491,0.284,0.559,4.19E+01,1.13E+01,3.95E+00
1.2484482,3.8029,0.3102,4.3877,3.992,0.012,0.476,0.277,0.545,4.19E+01,1.08E+01,3.69E+00
1.2694084,3.8068,0.3458,4.3749,3.9,0.006,0.461,0.269,0.532,4.18E+01,1.04E+01,3.45E+00
1.2902911,3.8106,0.3814,4.3616,3.807,0.003,0.447,0.262,0.518,4.28E+01,1.02E+01,3.31E+00
1.3122294,3.8145,0.4166,4.3493,3.716,0.001,0.433,0.255,0.504,4.44E+01,1.02E+01,3.21E+00
1.3346763,3.8184,0.4514,4.3375,3.625,0,0.42,0.247,0.49,4.52E+01,9.99E+00,3.05E+00
1.3574164,3.8222,0.4866,4.3248,3.534,0.002,0.407,0.24,0.476,4.53E+01,9.62E+00,2.86E+00
1.3799386,3.8261,0.5215,4.3127,3.444,0.004,0.394,0.233,0.463,4.52E+01,9.25E+00,2.67E+00
1.4026543,3.8299,0.5563,4.3002,3.354,0.008,0.382,0.226,0.449,4.55E+01,8.96E+00,2.52E+00
1.4254854,3.8341,0.5878,4.2925,3.272,0.012,0.369,0.218,0.434,4.56E+01,8.65E+00,2.37E+00
1.448299,3.8382,0.6195,4.2841,3.191,0.016,0.356,0.211,0.42,4.57E+01,8.34E+00,2.23E+00
1.4711628,3.8424,0.6513,4.2759,3.109,0.021,0.344,0.204,0.406,4.59E+01,8.06E+00,2.10E+00
1.4941517,3.8465,0.6832,4.2671,3.026,0.027,0.331,0.196,0.391,4.49E+01,7.62E+00,1.93E+00
1.516103,3.851,0.7116,4.2631,2.953,0.034,0.319,0.188,0.376,4.34E+01,7.11E+00,1.76E+00
1.5375055,3.8557,0.7385,4.261,2.883,0.043,0.306,0.18,0.36,4.31E+01,6.84E+00,1.65E+00
1.5592518,3.8602,0.766,4.2576,2.812,0.053,0.293,0.173,0.345,4.35E+01,6.68E+00,1.58E+00
1.5810295,3.8648,0.7934,4.2547,2.742,0.065,0.281,0.165,0.329,4.38E+01,6.50E+00,1.50E+00
1.6030418,3.8694,0.8208,4.2517,2.672,0.075,0.268,0.157,0.314,4.46E+01,6.41E+00,1.45E+00
1.6255944,3.8741,0.847,4.2503,2.606,0.085,0.256,0.149,0.298,4.56E+01,6.34E+00,1.40E+00
1.6486197,3.8787,0.8738,4.248,2.539,0.092,0.243,0.141,0.283,4.59E+01,6.18E+00,1.33E+00
1.6714916,3.8833,0.9003,4.2459,2.472,0.1,0.231,0.133,0.268,4.60E+01,6.00E+00,1.26E+00
1.6946489,3.8879,0.9273,4.2433,2.405,0.108,0.218,0.125,0.253,4.77E+01,6.01E+00,1.24E+00
1.7191708,3.8924,0.9544,4.2404,2.338,0.114,0.206,0.117,0.238,4.97E+01,6.06E+00,1.22E+00
1.7443586,3.8969,0.9818,4.2374,2.27,0.119,0.194,0.11,0.223,5.06E+01,5.96E+00,1.17E+00
1.7697656,3.9013,1.0095,4.2335,2.203,0.122,0.182,0.102,0.209,5.10E+01,5.81E+00,1.11E+00
1.7953581,3.9057,1.0375,4.2294,2.135,0.124,0.17,0.095,0.195,5.28E+01,5.81E+00,1.09E+00
1.8225636,3.91,1.0658,4.2248,2.068,0.124,0.158,0.088,0.182,5.50E+01,5.85E+00,1.07E+00
1.8504021,3.9142,1.0946,4.2194,2,0.123,0.146,0.081,0.169,5.57E+01,5.71E+00,1.02E+00
1.8782554,3.9184,1.1235,4.2138,1.933,0.122,0.135,0.074,0.157,5.64E+01,5.58E+00,9.71E-01
1.9067789,3.9226,1.1527,4.2079,1.867,0.12,0.123,0.068,0.144,5.89E+01,5.63E+00,9.53E-01
1.9371189,3.9267,1.1824,4.2015,1.8,0.118,0.112,0.062,0.132,6.10E+01,5.62E+00,9.28E-01
1.9677383,3.9307,1.2127,4.194,1.731,0.115,0.101,0.056,0.121,6.16E+01,5.47E+00,8.80E-01
1.9986792,3.9346,1.2434,4.1857,1.663,0.111,0.091,0.05,0.11,6.32E+01,5.41E+00,8.48E-01
2.0309279,3.9386,1.2742,4.1778,1.596,0.105,0.081,0.044,0.099,6.50E+01,5.36E+00,8.19E-01
2.0637155,3.9424,1.3057,4.1685,1.528,0.099,0.071,0.039,0.088,6.57E+01,5.22E+00,7.77E-01
2.0966687,3.9462,1.3377,4.1586,1.459,0.091,0.061,0.034,0.078,6.77E+01,5.18E+00,7.50E-01
2.131401,3.9499,1.3701,4.1481,1.391,0.083,0.052,0.03,0.069,7.03E+01,5.18E+00,7.30E-01
2.1670104,3.9535,1.4033,4.1365,1.32,0.075,0.043,0.025,0.06,7.20E+01,5.10E+00,7.00E-01
2.2034382,3.957,1.4374,4.1236,1.246,0.067,0.034,0.022,0.052,7.53E+01,5.12E+00,6.84E-01
2.2423167,3.9604,1.4723,4.1099,1.172,0.059,0.026,0.018,0.045,7.83E+01,5.12E+00,6.64E-01
2.2817662,3.9637,1.5082,4.0948,1.095,0.05,0.018,0.015,0.037,8.10E+01,5.08E+00,6.40E-01
2.323339,3.9668,1.5456,4.0776,1.014,0.042,0.011,0.011,0.031,8.45E+01,5.08E+00,6.22E-01
2.3663145,3.9697,1.5841,4.0587,0.93,0.033,0.004,0.009,0.025,8.80E+01,5.07E+00,6.01E-01
2.4113745,3.9724,1.6246,4.0372,0.84,0.025,-0.002,0.006,0.02,9.52E+01,5.23E+00,6.02E-01
2.4614691,3.9747,1.6686,4.0113,0.74,0.018,-0.008,0.004,0.016,1.05E+02,5.49E+00,6.10E-01
2.5160666,3.9765,1.7168,3.9798,0.628,0.012,-0.013,0.003,0.012,1.18E+02,5.85E+00,6.27E-01
2.579141,3.9775,1.7717,3.9397,0.495,0.008,-0.017,0.002,0.011,1.30E+02,6.10E+00,6.28E-01
2.6458934,3.9768,1.8292,3.8905,0.348,0.009,-0.019,0.002,0.012,1.20E+02,5.32E+00,5.27E-01
2.6988981,3.9747,1.875,3.8449,0.224,0.014,-0.018,0.003,0.015,9.75E+01,4.13E+00,3.95E-01
2.7434172,3.9717,1.9124,3.8026,0.117,0.022,-0.015,0.005,0.021,8.11E+01,3.31E+00,3.08E-01
2.7800333,3.9679,1.9433,3.7623,0.022,0.033,-0.011,0.007,0.027,6.90E+01,2.72E+00,2.48E-01
2.8124041,3.9636,1.9704,3.723,-0.064,0.045,-0.006,0.01,0.035,6.08E+01,2.33E+00,2.08E-01
2.8407989,3.9588,1.9935,3.6851,-0.143,0.059,0,0.013,0.043,5.35E+01,2.01E+00,1.76E-01
2.8659014,3.9537,2.014,3.648,-0.214,0.074,0.007,0.017,0.052,4.75E+01,1.75E+00,1.51E-01
2.8883355,3.9484,2.0323,3.6119,-0.281,0.091,0.014,0.021,0.062,4.37E+01,1.58E+00,1.35E-01
2.9096039,3.943,2.0496,3.5762,-0.345,0.109,0.022,0.025,0.073,4.22E+01,1.50E+00,1.26E-01
2.9305651,3.9376,2.0671,3.5402,-0.407,0.126,0.031,0.029,0.084,4.91E+01,1.71E+00,1.42E-01
2.9586569,3.9342,2.0974,3.5004,-0.495,0.136,0.035,0.032,0.09,3.77E+01,1.29E+00,1.06E-01
2.9683015,3.9399,2.1175,3.5045,-0.527,0.119,0.023,0.026,0.078,1.41E+01,4.78E-01,3.91E-02
2.9727865,3.9461,2.1317,3.5158,-0.54,0.098,0.012,0.021,0.065,6.36E+00,2.14E-01,1.75E-02
2.9746636,3.9523,2.143,3.5296,-0.544,0.077,0.001,0.016,0.053,3.08E+00,1.04E-01,8.44E-03
2.9758689,3.9585,2.154,3.5435,-0.547,0.057,-0.009,0.011,0.042,1.98E+00,6.66E-02,5.41E-03
2.9766448,3.9647,2.1649,3.5576,-0.547,0.037,-0.018,0.007,0.032,1.33E+00,4.46E-02,3.63E-03
2.9771978,3.971,2.1763,3.5714,-0.547,0.016,-0.028,0.003,0.021,9.54E-01,3.20E-02,2.60E-03
2.9775989,3.9772,2.1885,3.5841,-0.549,-0.005,-0.036,0,0.012,6.75E-01,2.26E-02,1.84E-03
2.9778727,3.9834,2.2019,3.5955,-0.554,-0.025,-0.044,-0.004,0.003,5.02E-01,1.68E-02,1.37E-03
2.9781012,3.9895,2.2159,3.606,-0.56,-0.046,-0.052,-0.008,-0.006,4.62E-01,1.55E-02,1.26E-03
2.9783351,3.9957,2.2296,3.6171,-0.565,-0.067,-0.059,-0.011,-0.015,4.41E-01,1.48E-02,1.20E-03
2.978542,3.9931,2.216,3.6203,-0.543,-0.058,-0.056,-0.01,-0.011,3.35E-01,1.12E-02,9.13E-04
2.9786703,3.987,2.2021,3.6098,-0.537,-0.037,-0.048,-0.006,-0.003,2.29E-01,7.66E-03,6.22E-04
2.9787705,3.9807,2.1924,3.5944,-0.542,-0.016,-0.041,-0.002,0.007,2.12E-01,7.09E-03,5.76E-04
2.9788818,3.9744,2.1899,3.5717,-0.565,0.004,-0.033,0.001,0.016,2.27E-01,7.62E-03,6.19E-04
2.9789979,3.9681,2.1904,3.546,-0.595,0.025,-0.024,0.005,0.026,2.57E-01,8.63E-03,7.00E-04
2.9791392,3.9618,2.1954,3.5158,-0.636,0.045,-0.016,0.009,0.036,3.04E-01,1.02E-02,8.26E-04
2.9793014,3.9555,2.2004,3.4856,-0.675,0.065,-0.007,0.013,0.047,3.43E-01,1.15E-02,9.34E-04
2.9794826,3.9492,2.2052,3.4557,-0.712,0.086,0.002,0.017,0.058,3.76E-01,1.26E-02,1.02E-03
2.9796774,3.9429,2.2093,3.4264,-0.747,0.108,0.012,0.022,0.07,4.14E-01,1.39E-02,1.12E-03
2.9798962,3.9366,2.2118,3.3987,-0.776,0.128,0.022,0.027,0.083,4.51E-01,1.51E-02,1.23E-03
2.9801286,3.9302,2.2134,3.3716,-0.799,0.146,0.033,0.033,0.096,4.73E-01,1.58E-02,1.29E-03
2.9803692,3.9239,2.2145,3.3453,-0.82,0.164,0.045,0.039,0.109,4.93E-01,1.65E-02,1.34E-03
2.9806215,3.9176,2.2139,3.3207,-0.834,0.182,0.058,0.046,0.123,5.10E-01,1.71E-02,1.39E-03
2.9808796,3.9112,2.2129,3.2962,-0.845,0.196,0.073,0.054,0.138,5.16E-01,1.73E-02,1.40E-03
2.9811379,3.9049,2.2118,3.2721,-0.854,0.206,0.088,0.061,0.153,5.17E-01,1.73E-02,1.40E-03
2.9813961,3.8986,2.2104,3.2483,-0.859,0.211,0.103,0.069,0.168,6.72E-01,2.25E-02,1.82E-03
2.9818094,3.8881,2.2061,3.2107,-0.861,0.214,0.132,0.084,0.195,8.10E-01,2.71E-02,2.20E-03
2.9822064,3.8775,2.2008,3.1737,-0.856,0.214,0.162,0.099,0.225,7.70E-01,2.57E-02,2.09E-03
2.982579,3.867,2.1948,3.1377,-0.846,0.207,0.193,0.115,0.255,7.21E-01,2.41E-02,1.95E-03
2.9829278,3.8565,2.1879,3.1027,-0.831,0.187,0.223,0.132,0.287,6.68E-01,2.23E-02,1.81E-03
2.9832471,3.846,2.1805,3.0681,-0.815,0.165,0.255,0.15,0.321,6.14E-01,2.05E-02,1.66E-03
2.9835415,3.8354,2.1723,3.034,-0.795,0.147,0.286,0.168,0.355,5.67E-01,1.89E-02,1.53E-03
2.9838136,3.8249,2.1635,3.0008,-0.773,0.129,0.317,0.186,0.39,5.21E-01,1.74E-02,1.41E-03
2.9840623,3.8144,2.154,2.9683,-0.748,0.122,0.35,0.204,0.425,4.82E-01,1.61E-02,1.30E-03
2.984296,3.8039,2.1438,2.9366,-0.72,0.127,0.387,0.222,0.46,4.62E-01,1.54E-02,1.25E-03
2.9845238,3.7934,2.1325,2.9059,-0.687,0.137,0.427,0.24,0.495,4.54E-01,1.52E-02,1.23E-03
2.9847504,3.783,2.1192,2.8776,-0.647,0.152,0.468,0.257,0.53,4.66E-01,1.55E-02,1.26E-03
2.9849894,3.7726,2.1032,2.8521,-0.596,0.172,0.512,0.275,0.565,5.05E-01,1.68E-02,1.36E-03
2.9852554,3.7622,2.0821,2.8316,-0.529,0.202,0.559,0.293,0.6,5.56E-01,1.85E-02,1.50E-03
2.9855457,3.7521,2.0539,2.8194,-0.439,0.241,0.607,0.312,0.634,5.93E-01,1.98E-02,1.60E-03
2.9858481,3.7421,2.0188,2.8146,-0.327,0.284,0.653,0.331,0.669,6.25E-01,2.08E-02,1.69E-03
2.9861711,3.7325,1.975,2.82,-0.192,0.327,0.696,0.351,0.705,6.66E-01,2.22E-02,1.79E-03
2.9865137,3.7231,1.9274,2.8301,-0.043,0.376,0.738,0.37,0.74,7.17E-01,2.39E-02,1.93E-03
2.986888,3.7133,1.8898,2.8285,0.086,0.433,0.78,0.392,0.777,8.12E-01,2.70E-02,2.19E-03
2.9873257,3.7029,1.8871,2.7897,0.133,0.501,0.827,0.414,0.817,9.14E-01,3.04E-02,2.46E-03
2.9878019,3.6934,1.9301,2.7088,0.065,0.564,0.871,0.435,0.854,1.01E+00,3.35E-02,2.71E-03
2.9883337,3.6852,1.9966,2.6096,-0.063,0.623,0.911,0.453,0.886,1.17E+00,3.89E-02,3.14E-03
2.9889722,3.6777,2.0707,2.5055,-0.208,0.68,0.948,0.47,0.917,1.34E+00,4.45E-02,3.60E-03
2.9896732,3.6706,2.1484,2.3995,-0.361,0.739,0.986,0.487,0.947,1.40E+00,4.65E-02,3.75E-03
2.9903703,3.6636,2.2276,2.2924,-0.514,0.8,1.025,0.506,0.978,1.39E+00,4.63E-02,3.74E-03
2.9910681,3.6569,2.3086,2.1847,-0.67,0.863,1.065,0.525,1.011,1.41E+00,4.68E-02,3.78E-03
2.9917816,3.6503,2.391,2.0761,-0.827,0.929,1.106,0.544,1.046,1.43E+00,4.75E-02,3.83E-03
2.9924993,3.6438,2.4743,1.9669,-0.984,1.004,1.145,0.565,1.081,1.42E+00,4.71E-02,3.80E-03
2.9932036,3.6374,2.5578,1.8579,-1.14,1.087,1.181,0.585,1.119,1.39E+00,4.60E-02,3.70E-03
2.9938871,3.6309,2.6409,1.7489,-1.291,1.176,1.217,0.607,1.16,1.44E+00,4.77E-02,3.84E-03
2.994643,3.6244,2.7242,1.6397,-1.436,1.269,1.255,0.631,1.206,7.56E-01,2.50E-02,2.01E-03
,,,,,,,,,,,
age(Gyr)=,0.600 14,0 points,,,,,,,,,
0.4,3.4673,-1.9269,4.7881,12.798,1.545,1.829,1.45,3.326,3.47E+01,1.24E+02,2.67E+02
0.4346869,3.4957,-1.7805,4.7914,11.836,1.395,1.691,1.256,2.859,6.95E+01,2.15E+02,4.19E+02
0.4695486,3.5239,-1.6322,4.7894,10.965,1.293,1.577,1.105,2.469,7.11E+01,1.83E+02,3.14E+02
0.5057765,3.5521,-1.4814,4.7837,10.126,1.237,1.474,0.981,2.112,8.05E+01,1.73E+02,2.61E+02
0.550049,3.5799,-1.3253,4.7752,9.334,1.232,1.39,0.896,1.804,8.83E+01,1.57E+02,2.08E+02
0.5940607,3.6078,-1.1696,4.7646,8.622,1.226,1.293,0.817,1.556,1.04E+02,1.52E+02,1.75E+02
0.6537532,3.6333,-0.9963,4.7348,7.955,1.171,1.197,0.738,1.369,1.23E+02,1.46E+02,1.45E+02
0.717273,3.6581,-0.821,4.699,7.335,1.028,1.103,0.656,1.21,1.31E+02,1.25E+02,1.07E+02
0.7852421,3.6823,-0.6461,4.6602,6.746,0.821,1.006,0.577,1.069,1.41E+02,1.08E+02,7.93E+01
0.8577968,3.7058,-0.4717,4.6182,6.19,0.606,0.906,0.506,0.945,8.58E+01,5.59E+01,3.65E+01
0.8710305,3.71,-0.4402,4.6102,6.092,0.569,0.888,0.494,0.925,2.64E+01,1.59E+01,9.85E+00
0.8842429,3.7142,-0.4088,4.6021,5.995,0.532,0.869,0.482,0.904,2.65E+01,1.54E+01,9.28E+00
0.8975161,3.7184,-0.3773,4.5939,5.898,0.495,0.85,0.47,0.885,2.71E+01,1.52E+01,8.96E+00
0.9113858,3.7226,-0.3462,4.5862,5.804,0.459,0.831,0.458,0.865,2.78E+01,1.51E+01,8.64E+00
0.9253278,3.7268,-0.3155,4.5789,5.711,0.424,0.812,0.447,0.846,2.78E+01,1.45E+01,8.13E+00
0.9392064,3.7309,-0.2849,4.5712,5.62,0.391,0.793,0.436,0.828,2.77E+01,1.40E+01,7.64E+00
0.9530555,3.7351,-0.2543,4.5637,5.53,0.359,0.774,0.425,0.809,2.79E+01,1.36E+01,7.25E+00
0.9671189,3.7393,-0.2233,4.5559,5.44,0.328,0.755,0.414,0.791,2.79E+01,1.31E+01,6.83E+00
0.9809313,3.7435,-0.1926,4.5482,5.351,0.298,0.736,0.404,0.773,2.77E+01,1.26E+01,6.42E+00
0.994848,3.7476,-0.1617,4.5398,5.263,0.269,0.717,0.394,0.756,2.87E+01,1.27E+01,6.28E+00
1.0096757,3.7516,-0.1304,4.5309,5.174,0.241,0.699,0.385,0.739,3.04E+01,1.29E+01,6.27E+00
1.0252502,3.7555,-0.0987,4.5215,5.086,0.215,0.68,0.376,0.724,3.10E+01,1.28E+01,6.02E+00
1.0407242,3.7595,-0.0671,4.5124,4.998,0.189,0.662,0.367,0.708,3.09E+01,1.23E+01,5.65E+00
1.0561873,3.7634,-0.0354,4.5027,4.91,0.165,0.644,0.358,0.692,3.10E+01,1.19E+01,5.34E+00
1.0717575,3.7673,-0.0035,4.4927,4.823,0.143,0.626,0.349,0.677,3.10E+01,1.15E+01,5.04E+00
1.0872143,3.7712,0.0283,4.4827,4.736,0.124,0.608,0.341,0.662,3.15E+01,1.13E+01,4.83E+00
1.1032801,3.775,0.0607,4.4719,4.649,0.106,0.592,0.333,0.647,3.39E+01,1.17E+01,4.90E+00
1.1211489,3.7786,0.0938,4.4602,4.561,0.091,0.576,0.325,0.634,3.58E+01,1.19E+01,4.86E+00
1.1391174,3.7822,0.1267,4.4486,4.473,0.077,0.561,0.318,0.62,3.61E+01,1.16E+01,4.59E+00
1.1572504,3.7857,0.1598,4.4364,4.386,0.063,0.546,0.31,0.607,3.62E+01,1.12E+01,4.32E+00
1.175282,3.7893,0.1926,4.4247,4.3,0.049,0.531,0.303,0.594,3.61E+01,1.08E+01,4.05E+00
1.1933284,3.793,0.2253,4.4134,4.214,0.037,0.515,0.296,0.58,3.70E+01,1.06E+01,3.90E+00
1.2122554,3.7965,0.2584,4.4011,4.128,0.027,0.501,0.289,0.568,3.78E+01,1.05E+01,3.75E+00
1.2311456,3.8001,0.2908,4.3898,4.043,0.018,0.487,0.282,0.555,3.79E+01,1.01E+01,3.54E+00
1.2501853,3.8036,0.3236,4.3777,3.958,0.011,0.473,0.275,0.542,3.82E+01,9.85E+00,3.35E+00
